TFBS_chr	TFBS_start	TFBS_end	TFBS_name	TFBS_score	TFBS_strand	peak_chr	peak_start	peak_end	additional_1	additional_2	additional_3	WT_Stem_footprints_score	AhRKO_Diff_footprints_score	WT_Diff_footprints_score	AhRKO_Stem_footprints_score	WT_Stem_footprints_bound	AhRKO_Diff_footprints_bound	WT_Diff_footprints_bound	AhRKO_Stem_footprints_bound	WT_Stem_footprints_AhRKO_Diff_footprints_log2fc	WT_Stem_footprints_WT_Diff_footprints_log2fc	WT_Stem_footprints_AhRKO_Stem_footprints_log2fc	AhRKO_Diff_footprints_WT_Diff_footprints_log2fc	AhRKO_Diff_footprints_AhRKO_Stem_footprints_log2fc	WT_Diff_footprints_AhRKO_Stem_footprints_log2fc
1	3671715	3671728	_TEAD2_MA1121.1	9.71365	+	1	3670640	3672620	Interval_11	0	+	0.37043	0.50961	0.68397	0.31457	1	1	1	1	-0.42382	-0.82315	0.21265	-0.39933	0.63647	1.0358
1	4028624	4028637	_TEAD2_MA1121.1	7.92152	+	1	4027766	4029929	Interval_17	0	+	0.01488	0.03873	0.02565	0.01233	0	0	0	0	-0.54432	-0.27139	0.07249	0.27293	0.61681	0.34388
1	4029456	4029469	_TEAD2_MA1121.1	8.63849	+	1	4027766	4029929	Interval_17	0	+	0.3914	0.58063	0.69998	0.2809	1	1	1	0	-0.52762	-0.78245	0.4302	-0.25482	0.95783	1.21265
1	4060923	4060936	_TEAD2_MA1121.1	8.49092	+	1	4060661	4062418	Interval_18	0	+	0.01939	0.04537	0.0864	0.02726	0	0	0	0	-0.54542	-1.12766	-0.18799	-0.58224	0.35743	0.93967
1	4362196	4362209	_TEAD2_MA1121.1	7.30073	-	1	4361592	4363749	Interval_24	0	+	0.22704	0.41506	0.25865	0.21696	0	1	0	0	-0.7754	-0.16304	0.05612	0.61236	0.83152	0.21916
1	4362484	4362497	_TEAD2_MA1121.1	8.74638	-	1	4361592	4363749	Interval_24	0	+	0.07105	0.18476	0.14797	0.06029	0	0	0	0	-1.03623	-0.77473	0.15111	0.26151	1.18734	0.92583
1	4722525	4722538	_TEAD2_MA1121.1	8.50227	-	1	4722225	4722964	Interval_35	0	+	0.10843	0.09145	0.06605	0.1756	0	0	0	0	0.17891	0.49634	-0.54733	0.31743	-0.72624	-1.04367
1	4745873	4745886	_TEAD2_MA1121.1	9.72193	+	1	4744941	4746523	Interval_36	0	+	0.24214	0.16221	0.08658	0.24468	0	0	0	0	0.48638	1.17453	-0.01306	0.68815	-0.49944	-1.18759
1	4774967	4774980	_TEAD2_MA1121.1	10.63056	+	1	4774923	4776121	Interval_37	0	+	0.02522	0.12423	0.0958	0.02791	0	0	0	0	-1.37145	-1.09188	-0.06091	0.27957	1.31054	1.03097
1	4895185	4895198	_TEAD2_MA1121.1	8.04135	+	1	4894846	4895519	Interval_44	0	+	0.05222	0.02927	0.04297	0.06478	0	0	0	0	0.42814	0.15762	-0.1897	-0.27052	-0.61784	-0.34732
1	5108864	5108877	_TEAD2_MA1121.1	9.73686	-	1	5108424	5109397	Interval_49	0	+	0.25253	0.41938	0.4223	0.32934	0	1	1	1	-0.65624	-0.66544	-0.33931	-0.0092	0.31693	0.32613
1	5129737	5129750	_TEAD2_MA1121.1	8.76055	+	1	5129562	5129838	Interval_50	0	+	0.13683	0.09387	0.08967	0.14497	0	0	0	0	0.40912	0.45612	-0.06597	0.047	-0.47508	-0.52209
1	5396150	5396163	_TEAD2_MA1121.1	9.82264	+	1	5395633	5396500	Interval_55	0	+	0.02079	0.07698	0.08088	0.01526	0	0	0	0	-0.97797	-1.02644	0.1447	-0.04847	1.12267	1.17114
1	5408817	5408830	_TEAD2_MA1121.1	9.20111	+	1	5408529	5409016	Interval_56	0	+	0.08451	0.2622	0.10187	0.09359	0	0	0	0	-1.29893	-0.19243	-0.10384	1.10651	1.19509	0.08859
1	5518592	5518605	_TEAD2_MA1121.1	8.73724	-	1	5518123	5519187	Interval_58	0	+	0.23815	0.37134	0.23796	0.17888	0	1	0	0	-0.56929	0.001	0.34976	0.57028	0.91905	0.34877
1	5619507	5619520	_TEAD2_MA1121.1	9.34773	-	1	5619387	5619599	Interval_60	0	+	0.04395	0.12571	0.10409	0.02653	0	0	0	0	-1.0058	-0.80033	0.34883	0.20548	1.35463	1.14916
1	5916194	5916207	_TEAD2_MA1121.1	7.95136	-	1	5915539	5917853	Interval_61	0	+	0.02108	0.0783	0.04853	0.0174	0	0	0	0	-0.98736	-0.55715	0.09417	0.43021	1.08153	0.65132
1	5917599	5917612	_TEAD2_MA1121.1	7.61068	+	1	5915539	5917853	Interval_61	0	+	0.0131	0.04133	0.04974	0.02124	0	0	0	0	-0.64314	-0.78999	-0.21657	-0.14685	0.42656	0.57342
1	6287890	6287903	_TEAD2_MA1121.1	9.23242	-	1	6286891	6288292	Interval_66	0	+	0.01493	0.04143	0.03372	0.02233	0	0	0	0	-0.59337	-0.4444	-0.19165	0.14897	0.40172	0.25275
1	6509843	6509856	_TEAD2_MA1121.1	7.26115	+	1	6509803	6511167	Interval_73	0	+	0.01419	0.04617	0.08072	0.00684	0	0	0	0	-0.69851	-1.19894	0.22288	-0.50043	0.92139	1.42182
1	7205998	7206011	_TEAD2_MA1121.1	7.38974	+	1	7204857	7207016	Interval_94	0	+	0.03173	0.05002	0.07006	0.03708	0	0	0	0	-0.33972	-0.63824	-0.10791	-0.29852	0.23181	0.53033
1	7373620	7373633	_TEAD2_MA1121.1	9.26461	-	1	7373444	7374044	Interval_95	0	+	0.07941	0.12278	0.12556	0.05039	0	0	0	0	-0.45635	-0.48121	0.41303	-0.02486	0.86938	0.89424
1	7489104	7489117	_TEAD2_MA1121.1	9.27124	-	1	7488758	7489122	Interval_100	0	+	0.0683	0.03904	0.04665	0.05148	0	0	0	0	0.46885	0.33151	0.25068	-0.13734	-0.21818	-0.08084
1	7496025	7496038	_TEAD2_MA1121.1	7.54349	-	1	7495257	7496238	Interval_101	0	+	0.51035	0.08938	0.15825	0.59101	1	0	0	1	2.11332	1.4864	-0.19827	-0.62693	-2.3116	-1.68467
1	7497687	7497700	_TEAD2_MA1121.1	8.62636	+	1	7497625	7500908	Interval_102	0	+	0.81846	0.72745	0.793	0.89002	1	1	1	1	0.16225	0.04358	-0.11588	-0.11867	-0.27813	-0.15946
1	7498706	7498719	_TEAD2_MA1121.1	8.17213	-	1	7497625	7500908	Interval_102	0	+	1.50209	0.79606	0.60626	1.10678	1	1	1	1	0.88546	1.2584	0.42822	0.37294	-0.45724	-0.83018
1	7498754	7498767	_TEAD2_MA1121.1	9.30919	+	1	7497625	7500908	Interval_102	0	+	1.35417	0.75741	0.59689	1.2435	1	1	1	1	0.80822	1.1338	0.11958	0.32558	-0.68864	-1.01422
1	7499389	7499402	_TEAD2_MA1121.1	9.20546	-	1	7497625	7500908	Interval_102	0	+	0.5375	0.40319	0.32541	0.61622	1	1	1	1	0.38406	0.66445	-0.18521	0.28039	-0.56928	-0.84967
1	7499789	7499802	_TEAD2_MA1121.1	7.29785	-	1	7497625	7500908	Interval_102	0	+	0.05173	0.05159	0.08249	0.0822	0	0	0	0	0.00227	-0.42874	-0.42524	-0.43102	-0.42752	0.0035
1	7502106	7502119	_TEAD2_MA1121.1	9.26461	+	1	7502086	7502988	Interval_103	0	+	0.29666	0.17613	0.15758	0.22152	0	0	0	0	0.64626	0.77753	0.36791	0.13127	-0.27836	-0.40963
1	7591504	7591517	_TEAD2_MA1121.1	8.15413	-	1	7591436	7591983	Interval_112	0	+	0.03968	0.0239	0.07146	0.03409	0	0	0	0	0.33165	-0.49938	0.10897	-0.83103	-0.22268	0.60835
1	8536740	8536753	_TEAD2_MA1121.1	7.6616	+	1	8536648	8537182	Interval_117	0	+	0.01204	0.04569	0.03164	0.01757	0	0	0	0	-0.75189	-0.48378	-0.15368	0.26811	0.5982	0.3301
1	8913988	8914001	_TEAD2_MA1121.1	8.72838	-	1	8913824	8914589	Interval_124	0	+	0.03739	0.14432	0.12704	0.03752	0	0	0	0	-1.28357	-1.13921	-0.00251	0.14436	1.28106	1.1367
1	8918294	8918307	_TEAD2_MA1121.1	7.22016	-	1	8918041	8919172	Interval_125	0	+	0.03303	0.08566	0.08697	0.04482	0	0	0	0	-0.80724	-0.82255	-0.22402	-0.01531	0.58322	0.59853
1	8918516	8918529	_TEAD2_MA1121.1	9.22287	-	1	8918041	8919172	Interval_125	0	+	0.00787	0.0233	0.04738	0.00772	0	0	0	0	-0.42513	-0.9088	0.00481	-0.48368	0.42994	0.91362
1	8925312	8925325	_TEAD2_MA1121.1	8.40046	+	1	8925062	8927662	Interval_126	0	+	0.01671	0.04261	0.14766	0.01251	0	0	0	0	-0.5664	-1.77864	0.11712	-1.21224	0.68351	1.89575
1	8960118	8960131	_TEAD2_MA1121.1	7.8228	-	1	8959998	8960982	Interval_128	0	+	0.0478	0.12002	0.1865	0.0417	0	0	0	0	-0.88759	-1.39649	0.10749	-0.5089	0.99509	1.50399
1	9013203	9013216	_TEAD2_MA1121.1	9.13267	+	1	9013128	9015356	Interval_129	0	+	0.0355	0.26096	0.17985	0.04413	0	0	0	0	-2.03672	-1.57858	-0.16192	0.45814	1.87479	1.41665
1	9023501	9023514	_TEAD2_MA1121.1	9.83427	+	1	9022977	9024095	Interval_131	0	+	0.25238	0.35756	0.21805	0.28097	0	1	0	0	-0.44707	0.18208	-0.13586	0.62915	0.31122	-0.31794
