TFBS_chr	TFBS_start	TFBS_end	TFBS_name	TFBS_score	TFBS_strand	peak_chr	peak_start	peak_end	additional_1	additional_2	additional_3	WT_Stem_footprints_score	AhRKO_Diff_footprints_score	WT_Diff_footprints_score	AhRKO_Stem_footprints_score	WT_Stem_footprints_bound	AhRKO_Diff_footprints_bound	WT_Diff_footprints_bound	AhRKO_Stem_footprints_bound	WT_Stem_footprints_AhRKO_Diff_footprints_log2fc	WT_Stem_footprints_WT_Diff_footprints_log2fc	WT_Stem_footprints_AhRKO_Stem_footprints_log2fc	AhRKO_Diff_footprints_WT_Diff_footprints_log2fc	AhRKO_Diff_footprints_AhRKO_Stem_footprints_log2fc	WT_Diff_footprints_AhRKO_Stem_footprints_log2fc
1	3671716	3671726	_TEAD4_MA0809.1	8.8723	+	1	3670640	3672620	Interval_11	0	+	0.37043	0.50961	0.68397	0.31457	1	1	1	1	-0.42382	-0.82315	0.21265	-0.39933	0.63647	1.0358
1	3865899	3865909	_TEAD4_MA0809.1	7.55574	+	1	3865144	3866479	Interval_13	0	+	0.0489	0.13455	0.0678	0.03482	0	0	0	0	-0.99659	-0.28644	0.25776	0.71015	1.25435	0.5442
1	4028625	4028635	_TEAD4_MA0809.1	8.38218	+	1	4027766	4029929	Interval_17	0	+	0.01488	0.03873	0.02565	0.01233	0	0	0	0	-0.54432	-0.27139	0.07249	0.27293	0.61681	0.34388
1	4029457	4029467	_TEAD4_MA0809.1	8.6248	+	1	4027766	4029929	Interval_17	0	+	0.3914	0.58063	0.69998	0.2809	1	1	1	0	-0.52762	-0.78245	0.4302	-0.25482	0.95783	1.21265
1	4060924	4060934	_TEAD4_MA0809.1	8.35282	+	1	4060661	4062418	Interval_18	0	+	0.01939	0.04537	0.0864	0.02726	0	0	0	0	-0.54542	-1.12766	-0.18799	-0.58224	0.35743	0.93967
1	4362198	4362208	_TEAD4_MA0809.1	8.2647	-	1	4361592	4363749	Interval_24	0	+	0.22704	0.41506	0.25865	0.21696	0	1	0	0	-0.7754	-0.16304	0.05612	0.61236	0.83152	0.21916
1	4362486	4362496	_TEAD4_MA0809.1	8.3321	-	1	4361592	4363749	Interval_24	0	+	0.07105	0.18476	0.14797	0.0579	0	0	0	0	-1.03623	-0.77473	0.18693	0.26151	1.22316	0.96166
1	4363186	4363196	_TEAD4_MA0809.1	7.79859	-	1	4361592	4363749	Interval_24	0	+	0.03147	0.08201	0.0764	0.02277	0	0	0	0	-0.79614	-0.72657	0.19557	0.06957	0.99172	0.92215
1	4722527	4722537	_TEAD4_MA0809.1	8.3321	-	1	4722225	4722964	Interval_35	0	+	0.10793	0.09145	0.06605	0.1756	0	0	0	0	0.17395	0.49138	-0.55229	0.31743	-0.72624	-1.04367
1	4745874	4745884	_TEAD4_MA0809.1	8.22618	+	1	4744941	4746523	Interval_36	0	+	0.24214	0.16221	0.08658	0.24468	0	0	0	0	0.48638	1.17453	-0.01306	0.68815	-0.49944	-1.18759
1	4774968	4774978	_TEAD4_MA0809.1	8.76638	+	1	4774923	4776121	Interval_37	0	+	0.02522	0.12423	0.0958	0.02791	0	0	0	0	-1.37145	-1.09188	-0.06091	0.27957	1.31054	1.03097
1	5108866	5108876	_TEAD4_MA0809.1	8.83165	-	1	5108424	5109397	Interval_49	0	+	0.25253	0.41938	0.4223	0.32934	0	1	1	1	-0.65624	-0.66544	-0.33931	-0.0092	0.31693	0.32613
1	5129738	5129748	_TEAD4_MA0809.1	8.31866	+	1	5129562	5129838	Interval_50	0	+	0.13683	0.09387	0.08967	0.14497	0	0	0	0	0.40912	0.45612	-0.06597	0.047	-0.47508	-0.52209
1	5396151	5396161	_TEAD4_MA0809.1	8.61616	+	1	5395633	5396500	Interval_55	0	+	0.02079	0.07698	0.08088	0.01526	0	0	0	0	-0.97797	-1.02644	0.1447	-0.04847	1.12267	1.17114
1	5408818	5408828	_TEAD4_MA0809.1	8.61616	+	1	5408529	5409016	Interval_56	0	+	0.08451	0.2622	0.10187	0.09359	0	0	0	0	-1.29893	-0.19243	-0.10384	1.10651	1.19509	0.08859
1	5518594	5518604	_TEAD4_MA0809.1	8.3321	-	1	5518123	5519187	Interval_58	0	+	0.24522	0.37134	0.23859	0.18398	0	1	0	0	-0.5327	0.03428	0.35268	0.56698	0.88539	0.31841
1	5619509	5619519	_TEAD4_MA0809.1	8.64552	-	1	5619387	5619599	Interval_60	0	+	0.04395	0.12571	0.10409	0.02653	0	0	0	0	-1.0058	-0.80033	0.34883	0.20548	1.35463	1.14916
